,x,y,SYMBOL,Color
65,2085.402344,-10591.75977,14526,265000
66,821.2478027,-10685.77051,977,265000
67,937.5932617,-10125.78027,32559,265000
68,495.3952026,-10248.48926,32566,265000
69,1887.848022,-10242.04688,27342,265000
70,1238.935791,-10117.23535,24170,265000
71,-721.7449951,-10154.55469,43454,265000
72,-7.683393955,-10113.63477,8212,265000
73,1252.289673,-10095.23145,15171,265000
74,-1142.18457,-9202.464844,8231,265000
75,-786.1470337,-9413.348633,40013,265000
76,1385.194214,-10000.60938,8362,265000
77,757.4099731,-10188.86621,8320,265000
78,1665.829834,-10168.29492,31658,265000
79,1160.758423,-11187.9209,31676,265000
80,563.4415894,-10833.60059,19687,265000
81,1108.822021,-10053.86816,8465,265000
82,-657.9990234,-9326.679688,13062,265000
83,133.4502258,-9213.432617,19951,265000
84,-1202.758789,-11492.87109,20963,265000
85,-1246.877563,-10073.30762,13270,265000
86,-725.7652588,-9987.270508,40473,265000
87,-53.35242844,-10594.45801,5316,265000
88,-170.3980865,-11210.73633,34995,265000
89,-492.5177612,-11305.61621,34998,265000
90,1014.094727,-10696.33789,8022,265000
91,-612.932312,-10252.19531,15911,265000
92,-21.28293991,-9300.25,31516,265000
93,1433.985352,-9317.841797,8014,265000
94,113.8737717,-9421.753906,30184,265000
95,-684.3599854,-8234.438477,7515,265000
96,-226.1262665,-9799.766602,13846,265000
97,-1253.893188,-10477.03711,13785,265000
98,-1661.685303,-10193.47461,21279,265000
99,-1211.615479,-10041.74512,20953,265000
100,-1364.358887,-10067.08301,14589,265000
101,-850.6028442,-9523.90625,15794,265000
102,-333.3365173,-10721.93652,34480,265000
103,-138.1473999,-11302.98145,1874,265000
104,-501.7772217,-11679.31836,34479,265000
105,654.5366211,-11973.31445,26662,265000
106,-815.3276367,-10969.82324,19751,265000
107,485.0250549,-11268.44141,43482,265000
108,1361.806885,-9810.735352,27893,265000
109,1120.838013,-9771.72168,18196,265000
110,1531.417236,-10142.85254,39703,265000
111,668.866394,-11024.24219,39698,265000
112,-439.4987183,-10207.75488,17752,265000
113,-1455.377441,-9169.358398,15303,265000
114,-81.05523682,-11540.41895,23523,265000
115,-286.7029419,-10866.54688,35330,265000
116,544.9546509,-10823.91797,23524,265000
117,200.9252625,-11088.12402,23525,265000
118,741.7564087,-11474.33691,15823,265000
119,543.3099976,-11491.25977,13648,265000
120,696.2210083,-10130.29199,26997,265000
121,-410.1639404,-9640.837891,16210,265000
122,1705.994629,-9590.333984,16534,265000
123,-239.4505615,-10187.32812,15709,265000
124,-1568.788208,-10100.97949,29704,265000
125,-192.6976929,-8799.259766,22480,265000
126,47.79124832,-9821.007813,15717,265000
127,-1272.538086,-9958.004883,21956,265000
128,68.44665527,-9464.751953,1449,265000
129,375.2714539,-12141.8877,30141,265000
130,263.7484436,-11230.24707,16421,265000
131,849.3652344,-11673.6582,35010,265000
132,95.56943512,-10434.27051,14692,265000
133,953.805481,-10634.51758,15151,265000
134,-1126.638916,-9900.926758,17601,265000
135,792.1582642,-8847.214844,17525,265000
136,-1367.438599,-10378.95898,38987,265000
137,605.6408081,-10240.24316,37970,265000
138,-285.7292786,-8549.042969,17348,265000
139,626.404541,-8347.201172,40553,265000
140,7409.03418,10643.64844,33071,265003
141,-536.9398193,-9693.963867,25001,265000
142,94.85076141,-9930.15918,18017,265000
143,-1016.917603,-10857.56836,17577,265000
144,-856.7692261,-9361.586914,21498,265000
145,327.8162537,-10862.41016,17965,265000
146,-1169.614258,-7842.125488,18186,265000
147,-572.7216797,-8063.733887,18166,265000
148,-398.5848694,-9970.231445,34256,265000
149,231.4625702,-11104.04199,26770,265000
150,-1273.134277,-10448.5957,38988,265000
151,-115.8152313,-9377.711914,15611,265000
152,2258.666016,-3130.883057,18383,265000
153,-50.49264145,-8534.850586,29090,265000
154,-367.9592896,-9698.027344,20632,265000
155,936.2584839,-9253.396484,15228,265000
156,1104.28186,-10328.60156,34771,265000
157,642.6185303,-10191.83496,22334,265000
158,222.9940948,-7857.594727,34773,265000
159,1018.517151,-10539.3877,14514,265000
160,-1501.741333,-10461.94043,19270,265000
161,898.1245117,-9946.032227,33889,265000
162,-1090.757446,-9734.735352,29458,265000
163,-938.8674316,-9895.932617,19269,265000
164,968.4171753,-11834.53223,8037,265000
165,1089.092407,-10760.3125,19311,265000
166,-897.9033813,-8728.439453,32060,265000
167,67.25561523,-8770.106445,18959,265000
168,-702.6225586,-8556.951172,18953,265000
169,-686.9569092,-9118.082031,18950,265000
170,-909.057312,-8965.158203,18951,265000
171,1355.226685,-10048.28613,20530,265000
172,881.057251,-10490.47949,40609,265000
173,-1071.025269,-10008.77637,22926,265000
174,-1707.335205,-10149.86035,26790,265000
175,-1292.577026,-9589.183594,17596,265000
176,-1209.282959,-10713.50586,20650,265000
177,1759.428955,-10056.08789,23703,265000
178,366.2190552,-9031.561523,27501,265000
179,-1464.623413,-11030.60645,8054,265000
180,-593.9794922,-10114.35547,6915,265000
181,-428.505188,-10293.91406,15902,265000
182,262.9691162,-9587.660156,18267,265000
183,67.69952393,-10728.32227,20298,265000
184,376.3227844,-9396.360352,30782,265000
185,-88.48812103,-10734.85059,20314,265000
186,1438.844482,-9118.12207,23936,265000
187,177.8184357,-9488.785156,37629,265000
188,-274.2070923,-10921.06152,14667,265000
189,424.8051758,-9598.041016,40549,265000
190,277.9032593,-10004.95996,21178,265000
191,697.4642944,-10508.0459,13577,265000
192,504.2142334,-10767.5752,30527,265000
193,86.09671783,-9965.698242,31174,265000
